Query Name,Rank,TF,Score,Library,Overlapping_Genes,Is_STAT1_Target
IFNa30h_enhancer_genes,584,ZNF99,609.7,"ARCHS4 Coexpression,1482;Enrichr Queries,48;GTEx Coexpression,299",,True
IFNa30h_enhancer_genes,585,POU6F2,610.3,"ARCHS4 Coexpression,417;Enrichr Queries,30;GTEx Coexpression,1384",,True
IFNa30h_enhancer_genes,586,MBD1,610.3,"ARCHS4 Coexpression,991;Enrichr Queries,678;GTEx Coexpression,162",,True
IFNa30h_enhancer_genes,587,E2F5,611.3,"ARCHS4 Coexpression,1183;Enrichr Queries,1113;ReMap ChIP-seq,1;GTEx Coexpression,148",PARD6G,True
IFNa30h_enhancer_genes,588,NANOG,611.5,"Literature ChIP-seq,16;ARCHS4 Coexpression,1229;ENCODE ChIP-seq,118;Enrichr Queries,756;ReMap ChIP-seq,117;GTEx Coexpression,1433",PARD6G,True
IFNa30h_enhancer_genes,589,E2F6,611.8,"ARCHS4 Coexpression,1138;ENCODE ChIP-seq,28;Enrichr Queries,431;ReMap ChIP-seq,36;GTEx Coexpression,1426",,True
IFNa30h_enhancer_genes,590,SRCAP,612.0,"ARCHS4 Coexpression,212;Enrichr Queries,120;GTEx Coexpression,1504",,True
IFNa30h_enhancer_genes,591,SP5,612.3,"ARCHS4 Coexpression,1266;Enrichr Queries,474;GTEx Coexpression,97",PARD6G,True
IFNa30h_enhancer_genes,592,RFX4,612.3,"ARCHS4 Coexpression,185;Enrichr Queries,1219;GTEx Coexpression,433",,True
IFNa30h_enhancer_genes,593,ZNF677,613.3,"ARCHS4 Coexpression,171;Enrichr Queries,364;GTEx Coexpression,1305",,True
IFNa30h_enhancer_genes,594,SP6,613.3,"ARCHS4 Coexpression,1204;Enrichr Queries,532;GTEx Coexpression,104",PARD6G,True
IFNa30h_enhancer_genes,595,IKZF4,614.7,"ARCHS4 Coexpression,744;Enrichr Queries,621;GTEx Coexpression,479",,True
IFNa30h_enhancer_genes,596,RFX2,616.5,"ARCHS4 Coexpression,287;Enrichr Queries,645;ReMap ChIP-seq,251;GTEx Coexpression,1283",,True
IFNa30h_enhancer_genes,597,ZNF165,616.8,"ARCHS4 Coexpression,138;Enrichr Queries,716;ReMap ChIP-seq,291;GTEx Coexpression,1322",,True
IFNa30h_enhancer_genes,598,DMRT2,617.3,"ARCHS4 Coexpression,177;Enrichr Queries,487;GTEx Coexpression,1188",,True
IFNa30h_enhancer_genes,599,FOXF2,617.7,"ARCHS4 Coexpression,380;Enrichr Queries,903;GTEx Coexpression,570",,True
IFNa30h_enhancer_genes,600,SOX12,618.7,"ARCHS4 Coexpression,121;Enrichr Queries,212;GTEx Coexpression,1523",,True
IFNa30h_enhancer_genes,601,CAMTA2,618.7,"ARCHS4 Coexpression,1440;Enrichr Queries,81;GTEx Coexpression,335",,True
IFNa30h_enhancer_genes,602,ZNF446,619.0,"ARCHS4 Coexpression,412;Enrichr Queries,468;GTEx Coexpression,977",,True
IFNa30h_enhancer_genes,603,ZFP69B,619.0,"ARCHS4 Coexpression,947;GTEx Coexpression,291",,True
IFNa30h_enhancer_genes,604,ZNF234,619.3,"ARCHS4 Coexpression,946;Enrichr Queries,164;GTEx Coexpression,748",,True
IFNa30h_enhancer_genes,605,ZNF496,619.7,"ARCHS4 Coexpression,755;Enrichr Queries,133;GTEx Coexpression,971",,True
IFNa30h_enhancer_genes,606,ZNF620,620.3,"ARCHS4 Coexpression,1240;Enrichr Queries,314;GTEx Coexpression,307",,True
IFNa30h_enhancer_genes,607,ZNF783,621.0,"ARCHS4 Coexpression,754;Enrichr Queries,406;GTEx Coexpression,703",,True
IFNa30h_enhancer_genes,608,FOXJ2,622.5,"ARCHS4 Coexpression,1210;Enrichr Queries,374;ReMap ChIP-seq,268;GTEx Coexpression,638",,True
IFNa30h_enhancer_genes,609,ZNF207,623.3,"ARCHS4 Coexpression,1312;Enrichr Queries,62;ReMap ChIP-seq,213;GTEx Coexpression,906",,True
IFNa30h_enhancer_genes,610,ZNF550,623.3,"ARCHS4 Coexpression,1000;Enrichr Queries,522;GTEx Coexpression,348",,True
IFNa30h_enhancer_genes,611,GTF2IRD2,624.0,"ARCHS4 Coexpression,927;Enrichr Queries,1;GTEx Coexpression,944",,True
IFNa30h_enhancer_genes,612,CREM,625.6,"Literature ChIP-seq,27;ARCHS4 Coexpression,768;Enrichr Queries,837;ReMap ChIP-seq,186;GTEx Coexpression,1310",,True
IFNa30h_enhancer_genes,613,ZNF773,625.7,"ARCHS4 Coexpression,1277;Enrichr Queries,340;GTEx Coexpression,260",,True
